TLV Name,Object Type,TLV Type,TLV Value,Constraints,,Comments
"",,,Field Length,,,
NdfConfig,Complex TLV,94,variable,,,
AdminState,AdminStateType,94.1,1,R/W,,
CcapCoreOwner,HexBinary,94.2,6,R/W,,
RfMute,Boolean,94.3,1,R/W,,
CenterFrequency,UnsignedInt,94.4,4,R/W,Hz,
ChannelWidth,UnsignedInt,94.5,4,R/W,Hz,
PowerAdjust,Short,94.6,2,R/W,Units: TenthdB,
TLV Name,Object Type,TLV,TLV Value,Constraints,,Comments
"",,Type,Field Length,,,
NdrConfig,Complex TLV,95,variable,,,
AdminState,AdminStateType,95.1,1,R/W,,
CcapCoreOwner,HexBinary,95.2,6,R/W,,
CenterFrequency,UnsignedInt,95.3,4,R/W,Hz,
ChannelWidth,UnsignedInt,95.4,4,R/W,Hz,
TargetRxPowerAdjust,Short,95.5,2,R/W,Units: TenthdB per,
"",,,,,1.6 MHz,
"",TLV Name,Object Type,TLV,TLV Value,Constraints,Comments
"",,,Type,Field,,
"",,,,Length,,
RdtiConfig,,Complex TLV,97,variable,,
RpdRdtiMode,,UnsignedByte,97.1,1,R/W,
RpdPtpDefDsDomainNumber,,UnsignedByte,97.2,1,R/W,
RpdPtpDefDsPriority1,,UnsignedByte,97.3,1,R/W,
RpdPtpDefDsPriority2,,UnsignedByte,97.4,1,R/W,
RpdPtpDefDsLocalPriority,,UnsignedByte,97.5,1,R/W,
RpdPtpProfileIdentifier,,MacAddress,97.6,6,R/W,
RpdPtpProfileVersion,,HexString,97.7,3,R/W,
RpdPtpPortConfig,,Complex TLV,97.8,variable,,
RpdEnetPortIndex,,UnsignedShort,97.8.1,2,,
RpdPtpPortIndex,,UnsignedShort,97.8.2,2,,
RpdPtpPortAdminState,,AdminStateType,97.8.3,1,R/W,
RpdPtpPortClockSource,,IpAddress,97.8.4,4 or 16,R/W,
RpdPtpPortClockAlternateSource,,IpAddress,97.8.5,4 or 16,R/W,
RpdPtpPortClockSelectAlternateSourceFirst,,Boolean,97.8.6,1,R/W,
