Attribute/TLV Name,Object Type,TLV Type,TLV,Constraints,Comments
"",,,Value,,
"",,,Field,,
"",,,Length,,
DeviceLocationDescription,String,50.24.1,1-255,R/W,
GeoLocationLatitude,String,50.24.2,9,R/W,
GeoLocationLogitude,String,50.24.3,10,R/W,
NumAsyncVideoChannels,UnignedByte,50.25,1,R,Per DS RF
"",,,,,Port
SupportsFlowTags,Boolean,50.26,1,R,
SupportsFrequencyTilt,Boolean,50.27,1,R,
MaxTiltValue,UnsignedShort,50.28,2,R,
BufferDepthMonitorAlertSupport,UnsignedByte,50.29,1,R,
BufferDepthConfigurationSupport,UnsignedByte,50.30,1,R,
RpdUcdProcessingTime,UnsignedShort,50.31,2,R,
RpdUcdChangeNullGrantTime,UnsignedShort,50.32,2,R,
SupportMultiSectionTimingMerReporting,UnsignedByte,50.33,1,R,
RdtiCapabilities,Complex TLV,50.34,variable,R,
NumPtpPortsPerEnetPort,UnsignedByte,50.34.1,1,R,
MaxDsPspSegCount,UnsignedByte,50.35,1,R,
DirectDsFlowQueueMapping,UnsignedByte,50.36,1,R,
DsSchedulerPhbIdList,HexBinary,50.37,variable,R,
RpdPendingEvRepQueueSize,UnsignedShort,50.38,2,R,
RpdLocalEventLogSize,UnsignedInt,50.39,4,R,
SupportsOpticalNodeRf,Boolean,50.40,1,R,
MaxDsFrequency,UnsignedInt,50.41,4,R,
MinDsFrequency,UnsignedInt,50.42,4,R,
MaxBasePower,UnsignedShort,50.43,2,R,
MinTiltValue,Short,50.44,2,R,
MinPowerAdjustScQam,Short,50.45,2,R,
MaxPowerAdjustScQam,UnsignedShort,50.46,2,R,
MinPowerAdjustOfdm,Short,50.47,2,R,
MaxPowerAdjustOfdm,UnsignedShort,50.48,2,R,
UsPowerCapabilities,Complex TLV,50.49,variable,R,
MinBaseUsPowerTargetLevel,Short,50.49.1,2,R,
MaxBaseUsPowerTargetLevel,Short,50.49.2,2,R,
MinTargetRxPowerAdjustScqam,Short,50.49.3,2,R,
MaxTargetRxPowerAdjustScqam,Short,50.49.4,2,R,
MinTargetRxPowerAdjustOfdma,Short,50.49.5,2,R,
MaxTargetRxPowerAdjustOfdma,Short,50.49.6,2,R,
MinTargetRxPowerAdjustNdr,Short,50.49.7,2,R,
MaxTargetRxPowerAdjustNdr,Short,50.49.8,2,R,
StaticPwCapabilities,Complex TLV,50.50,variable,R,
MaxFwdStaticPws,UnsignedShort,50.50.1,2,R,
MaxRetStaticPws,UnsignedShort,50.50.2,2,R,
SupportsMptDepiPw,Boolean,50.50.3,1,R,
SupportsMpt55d1RetPw,Boolean,50.50.4,1,R,
SupportsPspNdfPw,Boolean,50.50.5,1,R,
