Attribute/TLV Name,Object Type,TLV Type,TLV,Constraints,Comments
"",,,Value,,
"",,,Field,,
"",,,Length,,
UsBurstReceiverVendorId,UnsignedShort,50.19.10,2,R,
UsBurstReceiverModelNumber,String,50.19.11,3-16,R,
UsBurstReceiverDriverVersion,String,50.19.12,3-16,R,
UsBurstReceiverSerialNumber,String,50.19.13,5-16,R,
RpdRcpProtocolVersion,String,50.19.14,3-32,R,
RpdRcpSchemaVersion,String,50.19.15,5-32,R,
HwRevision,String,50.19.16,0-255,R,
AssetId,String,50.19.17,0-32,R/W,
VspSelector,String,50.19.18,0-16,R,
CurrentSwImageLastUpdate,DateAndTime,50.19.19,8 | 11,R,
CurrentSwImageName,String,50.19.20,0-255,R,
CurrentSwImageServer,IpAddress,50.19.21,4 | 16,R,
CurrrentSwImageIndex,UnsignedByte,50.19.22,1,R,
LcceChannelReachability,Complex TLV,50.20,variable,R,
EnetPortIndex,UnsignedByte,50.20.1,1,R,
ChannelType,RphyChannelType,50.20.2,1,R,
RfPortIndex,UnsignedByte,50.20.3,1,R,
StartChannelIndex,UnsignedByte,50.20.4,1,R,
EndChannelIndex,UnsignedByte,50.20.5,1,R,
PilotToneCapabilities,Complex TLV,50.21,variable,R,
NumCwToneGens,UnsignedByte,50.21.1,1,R,
LowestCwToneFreq,UnsignedInt,50.21.2,4,R,
HighestCwToneFreq,UnsignedInt,50.21.3,4,R,
MaxPowerDedCwTone,UnsignedShort,50.21.4,2,R,TenthdB
QamAsPilot,Boolean,50.21.5,1,R,
MinPowerDedCwTone,Short,50.21.6,2,R,TenthdB
MaxPowerQamCwTone,UnsignedShort,50.21.7,2,R,TenthdB
MinPowerQamCwTone,Short,50.21.8,2,R,TenthdB
AllocDsChanResources,Complex TLV,50.22,variable,R,
DsPortIndex,UnsignedByte,50.22.1,1,R,
AllocatedDsOfdmChannels,UnsignedShort,50.22.2,2,R,
AllocatedDsScQamChannels,UnsignedShort,50.22.3,2,R,
AllocatedDsOob55d1Channels,UnsignedShort,50.22.4,2,R,
Deprecated,UnsignedShort,50.22.5,2,R,
AllocatedNdfChannels,UnsignedShort,50.22.6,2,R,
AllocUsChanResources,Complex TLV,50.23,variable,R,
UsPortIndex,UnsignedByte,50.23.1,1,R,
AllocatedUsOfdmaChannels,UnsignedShort,50.23.2,2,R,
AllocatedUsScQamChannels,UnsignedShort,50.23.3,2,R,
AllocatedUsOob55d1Channels,UnsignedShort,50.23.4,2,R,
Deprecated,UnsignedShort,50.23.5,2,R,
AllocatedNdrChannels,UnsignedShort,50.23.6,2,R,
DeviceLocation,Complex TLV,50.24,variable,R,
