TLV Name,Object Type,TLV,TLV Value,Constraints,Comments
"",,Type,Field,,
"",,,Length,,
discontinuityTime,DateAndTime,73.5,8 or 11,R,
DsOfdmPlcPerf,Complex TLV,73.6,variable,R,
outDiscards,UnsignedLong,73.6.1,8,R,
outErrors,UnsignedLong,73.6.2,8,R,
outPackets,UnsignedLong,73.6.3,8,R,
discontinuityTime,DateAndTime,73.6.4,8 or 11,R,
operStatusDsOfdm,UnsignedByte,73.7,1,,
PlcFrameTimeAlignment,UnsignedLong,73.8,8,R,
DsOob551lPerf,Complex TLV,74,variable,R,
outDiscards,UnsignedLong,74.1,8,R,
outErrors,UnsignedLong,74.2,8,R,
outPackets,UnsignedLong,74.3,8,R,
discontinuityTime,DateAndTime,74.4,8 or 11,R,
operStatusDsOob551,UnisgnedByte,74.5,1,R,
DsOob552Perf,Complex TLV,75,variable,R,
outDiscards,UnsignedLong,75.1,8,R,
outErrors,UnsignedLong,75.2,8,R,
outPackets,UnsignedLong,75.3,8,R,
discontinuityTime,DateAndTime,75.4,8 or 11,R,
operStatusDsOob552,UnsignedByte,75.5,1,R,
NdfPerf,Complex TLV,76,variable,R,
outDiscards,UnsignedLong,76.1,8,R,
outErrors,UnsignedLong,76.2,8,R,
outPackets,UnsignedLong,76.3,8,R,
discontinuityTime,DateAndTime,76.4,8 or 11,R,
operStatusNdf,UnsignedByte,76.5,1,R,
UsRfPortPerf,Complex TLV,77,variable,R,
operStatusUsRfPort,UnsignedByte,77.1,1,,
UsScQamChannelPerf,Complex TLV,78,variable,R,
UsScChanLowIucStats,Complex TLV,78.1,variable,,
UsIuc,UnsignedByte,78.1.1,1,,"IUCs: 1,2,3"
UnicastOpportunities,UnsignedLong,78.1.2,8,,
UnicastOpCollisions,UnsignedLong,78.1.3,8,R,
UnicastOpNoEnergy,UnsignedLong,78.1.4,8,R,
UnicastOpErrors,UnsignedLong,78.1.5,8,R,
MulticastOpportunities,UnsignedLong,78.1.6,8,R,
McastOpCollisions,UnsignedLong,78.1.7,8,R,
McastOpNoEnergy,UnsignedLong,78.1.8,8,R,
McastOpErrors,UnsignedLong,78.1.9,8,R,
GoodFecCw,UnsignedLong,78.1.10,8,R,
CorrectedFecCw,UnsignedLong,78.1.11,8,R,
UncorrectFecCw,UnsignedLong,78.1.12,8,R,
UsScChanHiIucStats,Complex TLV,78.2,variable,,
UsIuc,UnsignedByte,78.2.1,1,,"IUCs 4,5,6,9,10,11"
