Attribute/TLV Name,Object Type,TLV Type,TLV,Constraints,Comments
"",,,Value,,
"",,,Field,,
"",,,Length,,
PreambleModType,PreambleType,65.10.7,1,R,
Scrambler,Boolean,65.10.8,1,R,
ScrambleSeed,UnsignedShort,65.10.9,2,R,
MaxBurstSize,UnsignedByte,65.10.10,1,R,
LasCodewordShortened,Boolean,65.10.11,1,R,
ByteInterleaverDepth,UnsignedByte,65.10.12,1,R,
ByteInterleaverBlockSize,UnsignedShort,65.10.13,2,R,
ModulationType,UnsignedByte,65.10.14,1,R,
GuardTime,UnsignedByte,65.10.15,1,R,
EqualizationCoeffEnable,Boolean,65.11,1,R/W,
IngressNoiseCancelEnable,Boolean,65.12,1,R/W,
UsChanId,UnsignedByte,65.13,1,R,
ConfigChangeCount,UnsignedByte,65.14,1,R,
DsChanId,UnsignedByte,65.15,1,R,
UsOfdmaChannelConfig,Complex TLV,66,,,
AdminState,AdminStateType,66.1,1,R/W,
CcapCoreOwner,HexBinary,66.2,6,R/W,
SubcarrierZeroFreq,UnsignedInt,66.3,4,R,
FirstActiveSubcarrierNum,UnsignedShort,66.4,2,R,
LastActiveSubcarrierNum,UnsignedShort,66.5,2,R,
RollOffPeriod,UsOfdmaRollOffPeriodType,66.6,2,R,
CyclicPrefix,UsOfdmaCyclicPrefixType,66.7,2,R,
SubcarrierSpacing,SubcarrierSpacingType,66.8,1,R,
NumSymbolsPerFrame,UnsignedByte,66.9,1,R,
NumActiveSubcarriers,UnsignedShort,66.10,2,R,
StartingMinislot,UnsignedInt,66.11,4,R/W,
PreambleString,HexBinary,66.12,variable,R,Up to 196 B
TargetRxPowerAdjust,UnsignedShort,66.13,2,R/W,TenthdB per
"",,,,,1.6 MHz
EnableFlowTags,Boolean,66.14,1,R/W,
ScramblerSeed,UnsignedInt,66.15,4,R,23 LSBs
ConfigMultiSectionTimingMer,Array of UnsignedShort,66.16,M*4,R/W,
"",value pairs,,,,
BwReqAggrControlOfdma,Complex TLV,66.17,,,
MaxReqBlockEnqTimeout,UnsignedShort,66.17.1,2,R/W,
MaxReqBlockEnqNumber,UnsignedByte,66.17.2,1,R/W,
UsChanId,UnsignedByte,66.18,1,R,
ConfigChangeCount,UnsignedByte,66.19,1,R,
DsChanId,UnsignedByte,66.20,1,R,
BroadcastImRegionDuration,UnsignedByte,66.21,1,R/W,
UnicastImRegionDuration,UnsignedByte,66.22,1,R/W,
UsOfdmaInitialRangingIuc,Complex TLV,67,variable,,
NumSubcarriers,UnsignedShort,67.1,2,R,
Guardband,UnsignedShort,67.2,2,R,
