Attribute/TLV Name,Object Type,TLV Type,TLV,Constraints,Comments
"",,,Value,,
"",,,Field,,
"",,,Length,,
ResponseScQamGuardTime,UnsignedByte,151.2.6,1,R,
UsOfdmaConfigQuery,Complex TLV,152,,,
QueryOfdmaRollOffPeriod,UsOfdmaRollOffPeriodType,152.1,2,R/W,
QueryOfdmaCyclicPrefix,UsOfdmaCyclicPrefixType,152.2,2,R/W,
QueryOfdmaSubcarrierSpacing,SubcarrierSpacingType,152.3,1,R/W,
QueryNumSymbolsPerFrame,UnsignedByte,152.4,1,R/W,
QueryOfdmaScramblerSeed,UnsignedInt,152.5,4,R/W,
UsOfdmaConfigResponse,Complex TLV,153,,,
ResponseOfdmaRollOffPeriod,UsOfdmaRollOffPeriodType,153.1,2,R,
ResponseOfdmaCyclicPrefix,UsOfdmaCyclicPrefixType,153.2,2,R,
ResponseOfdmaPreambleString,HexBinary,153.3,variable,R,
ResponseNumSymbolsPerFrame,UnsignedByte,153.4,1,R,
ResponseOfdmaScramblerSeed,UnsignedInt,153.5,4,R,
StaticPwConfig,Complex TLV,58,variable,N/A,
FwdStaticPwConfig,Complex TLV,58.1,variable,N/A,
Index,UnsignedShort,58.1.1,2,N/A,
CcapCoreOwner,HexBinary,58.1.2,6,R/W,
GroupAddress,IpAddress,58.1.3,4 | 16,R/W,
SourceAddress,IpAddress,58.1.4,4 | 16,R/W,
RetStaticPwConfig,Complex TLV,58.2,variable,N/A,
Index,UnsignedShort,58.2.1,2,N/A,
CcapCoreOwner,HexBinary,58.2.2,6,R/W,
DestAddress,IpAddress,58.2.3,4 | 16,R/W,
MtuSize,UnsignedShort,58.2.4,2,R/W,
UsPhbId,UnsignedShort,58.2.5,1,R/W,
CommonStaticPwConfig,Complex TLV,58.3,variable,N/A,
Direction,UnsignedByte,58.3.1,1,R/W,
Index,UnsignedShort,58.3.2,2,N/A,
PwType,UnsignedShort,58.3.4,2,R/W,
DepiPwSubtype,UnsignedShort,58.3.5,2,R/W,
L2SublayerType,UnsignedShort,58.3.6,2,R/W,
DepiL2SublayerSubtype,UnsignedShort,58.3.7,2,R/W,
SessionId,UnsignedInt,58.3.8,4,R/W,
CircuitStatus,UnsignedShort,58.3.9,2,R/W,
RpdEnetPortIndex,UnsignedByte,58.3.10,1,R/W,
PwAssociation,Complex TLV,58.3.11,variable,N/A,
Index,UnsignedByte,58.3.11.1,1,N/A,
ChannelSelector,ComplexTLV,58.3.11.2,variable,N/A,
RfPortIndex,UnsignedByte,58.3.11.2.1,1,R/W,
ChannelType,UnsignedByte,58.3.11.2.2,1,R/W,
ChannelIndex,UnsignedByte,58.3.11.2.3,1,R/W,
EnableStatusNotification,Boolean,58.3.12,1,R/W,
StaticPwStatus,ComplexTLV,59,variable,N/A,
