Attribute/TLV Name,Object Type,TLV Type,TLV,Constraints,Comments
"",,,Value,,
"",,,Field,,
"",,,Length,,
UsOfdmaFineRangingIuc,Complex TLV,68,variable,,
NumSubcarriers,UnsignedShort,68.1,2,R,
Guardband,UnsignedShort,68.2,2,R,
UsOfdmaDataIuc,Complex TLV,69,variable,,
DataIuc,UnsignedByte,69.1,1,,Key
StartMinislot,UnsignedByte,69.2,1,,Key
FirstSubcarrierId,UnsignedShort,69.3,2,R,
NumConsecutiveMinislots,UnsignedByte,69.4,1,R,
MinislotPilotPattern,UnsignedByte,69.5,1,R,
DataSymbolModulation,UsOfdmaModulationType,69.6,1,R,
UsOfdmaSubcarrierCfgState,Complex TLV,70,variable,,
StartingSubcarrierId,UnsignedShort,70.1,2,R,
NumConsecutiveSubcarriers,UnsignedShort,70.2,2,R,
SubcarrierUsage,UnsignedByte,70.3,1,R,
SidQos,ComplexTLV,96,,,
StartSid,UnsignedShort,96.1,2,N/A,
NumSids,UnsignedShort,96.2,2,N/A,
SidSfType,UnsignedByte,96.3,1,R/W,
SidUepiFlowId,UnsignedByte,96.4,1,R/W,
SidFlowTag,UnsignedInt,96.5,4,R/W,
UsRfPort,Complex TLV,98,variable,,
AdminState,AdminStateType,98.1,1,R/W,
BwReqAggrControl,Complex TLV,98.2,,,
MaxReqBlockEnqTimeout,UnsignedShort,98.2.1,2,R/W,
MaxReqBlockEnqNumber,UnsignedByte,98.2.2,1,R/W,
BaseTargetRxPower,Short,98.3,2,R/W,TenthdBmV
"",,,,,per 1.6 MHz
UsScQamProfileQuery,Complex TLV,150,,,
QueryScQamChannelType,UpstreamChantype,150.1,1,R/W,
QueryScQamWidth,UnsignedInt,150.2,4,R/W,
QueryIucCode,Complex TLV,150.3,,,
QueryScQamCode,UnsignedByte,150.3.1,1,R/W,
QueryScQamPreambleLen,UnsignedShort,150.3.2,2,R/W,
QueryScQamPreambleModType,PreambleType,150.3.3,1,R/W,
QueryScQamModulationType,UnsignedByte,150.3.4,1,R/W,
QueryScQamGuardTime,UnsignedByte,150.3.5,1,R/W,
UsScQamProfileResponse,Complex TLV,151,,,
ResponseScQamPreambleString,HexBinary,151.1,Variable,R,
ResponseIucCode,Complex TLV,151.2,,,
ResponseScQamCode,UnsignedByte,151.2.1,1,R,
ResponseScQamPreambleLen,UnsignedShort,151.2.2,2,R,
ResponseScQamPreambleOffset,UnsignedShort,151.2.3,2,R,
ResponseScQamPreambleModType,PreambleType,151.2.4,1,R,
ResponseScQamScramblerSeed,UnsignedShort,151.2.5,2,R,
